loan_status,term,home_ownership,emp_length,verification_status,installment,monthly_inc,PaymentToIncome,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc
0,60,2,0,1,37.74,3500.0,0.010782857142857143,3.17,0,1,3,0,4949,0.5660000000000001,4
1,60,3,10,3,273.79,7500.0,0.036505333333333334,13.67,0,1,18,0,15986,0.266,63
1,36,2,5,1,304.36,5833.333333333333,0.05217600000000001,9.07,0,0,8,0,10050,0.155,23
1,36,3,4,2,836.66,9583.333333333334,0.08730365217391303,13.74,0,0,11,0,40110,0.028999999999999998,43
1,36,3,10,1,240.77,4083.3333333333335,0.05896408163265306,22.97,0,2,8,0,7183,0.7040000000000001,28
1,36,2,2,1,51.72,3333.3333333333335,0.015515999999999999,3.9,0,2,3,0,2775,0.925,7
1,36,3,8,2,247.53,3489.0833333333335,0.07094413527908476,18.43,0,0,10,0,12267,0.185,12
1,60,2,5,2,424.26,4083.3333333333335,0.1039004081632653,20.38,0,0,11,0,27238,0.65,21
1,36,2,1,1,292.91,2160.0,0.1356064814814815,5.56,0,2,7,0,6353,0.395,8
1,36,2,8,3,402.54,3333.0,0.12077407740774078,6.81,1,0,10,0,7056,0.355,14
1,36,4,0,3,290.03,5000.0,0.058005999999999995,8.88,0,2,4,0,0,0.0,18
1,36,3,5,1,127.79,3417.0,0.03739830260462394,12.99,0,2,8,0,2727,0.128,15
1,36,2,10,3,129.05,6000.0,0.021508333333333334,3.72,0,1,5,0,2420,0.11599999999999999,9
1,36,2,4,1,192.4,3333.0,0.05772577257725773,26.34,0,0,8,0,3114,0.113,36
1,36,3,2,2,517.51,7500.0,0.06900133333333333,10.33,0,1,14,0,8533,0.18,52
1,36,3,9,2,182.62,3700.0,0.049356756756756756,14.73,0,1,6,0,133681,0.693,26
1,36,3,10,2,667.13,7125.0,0.09363228070175439,14.58,0,0,6,0,7576,0.597,13
1,36,2,2,1,217.53,3083.3333333333335,0.07055027027027026,7.75,0,2,5,0,0,0.0,11
1,36,3,2,2,879.85,18000.0,0.04888055555555556,14.23,0,2,28,0,59308,0.32899999999999996,63
1,36,2,0,2,758.88,4833.333333333333,0.1570096551724138,12.1,0,1,11,0,20666,0.9229999999999999,28
1,36,2,0,3,158.77,2916.6666666666665,0.05443542857142858,8.16,0,2,8,0,6867,0.267,17
1,36,3,1,1,242.62,5083.333333333333,0.04772852459016394,12.22,0,2,18,0,10253,0.142,39
1,36,3,5,3,445.12,7891.0,0.05640856672158155,14.12,0,2,7,0,19429,0.8059999999999999,15
1,36,2,3,1,142.98,2041.6666666666667,0.07003102040816325,13.86,0,0,4,0,4659,0.301,16
1,36,3,10,1,245.51,5958.333333333333,0.04120447552447552,0.62,0,0,4,1,37,0.003,17
